k,P(k)
5.657180034775733659e-04,2.254301797698617065e+03
5.750425747706383118e-04,2.289737180742860801e+03
5.845208403588553593e-04,2.325714404429456408e+03
5.941553335422147548e-04,2.362241156259438412e+03
6.039486293763798820e-04,2.399325217026052087e+03
6.139033453609350072e-04,2.436974450395620806e+03
6.240221421389765969e-04,2.475196766111938359e+03
6.343077242082355597e-04,2.514000152824889028e+03
6.447628406439209064e-04,2.553392690780643989e+03
6.553902858334772737e-04,2.593382552384201517e+03
6.661929002234552631e-04,2.633978002752506654e+03
6.771735710786891014e-04,2.675187396929712577e+03
6.883352332539902215e-04,2.717019166210252024e+03
6.996808699785597285e-04,2.759481829274849133e+03
7.112135136533288913e-04,2.802583997924999949e+03
7.229362466614441774e-04,2.846334377522010527e+03
7.348522021921093323e-04,2.890741767410116154e+03
7.469645650780070908e-04,2.935815053486795932e+03
7.592765726465256024e-04,2.981563166320355322e+03
7.717915155850124794e-04,3.027995108659345533e+03
7.845127388202920680e-04,3.075119973800499793e+03
7.974436424126813208e-04,3.122946945791819871e+03
8.105876824647371580e-04,3.171485299575262161e+03
8.239483720449872857e-04,3.220744396453575064e+03
8.375292821268825625e-04,3.270733652507653005e+03
8.513340425432283035e-04,3.321462555607562990e+03
8.653663429563477911e-04,3.372940681093184139e+03
8.796299338442329979e-04,3.425177691749890982e+03
8.941286275029538969e-04,3.478183337669805042e+03
9.088662990655880852e-04,3.531967446982402180e+03
9.238468875379446995e-04,3.586539847145461408e+03
9.390743968513639737e-04,3.641910397839492362e+03
9.545528969328618630e-04,3.698089035512108239e+03
9.702865247929216841e-04,3.755085773227219306e+03
9.862794856312100036e-04,3.812910699994839433e+03
1.002536053960522951e-03,3.871573976120166662e+03
1.019060574749250814e-03,3.931085789019236927e+03
1.035857464582681407e-03,3.991456365453586386e+03
1.052931212843439277e-03,4.052695999297302023e+03
1.070286382911384612e-03,4.114815050967794377e+03
1.087927613383289291e-03,4.177823946294470261e+03
1.105859619312615566e-03,4.241733167922921893e+03
1.124087193469729780e-03,4.306553148075620811e+03
1.142615207622889621e-03,4.372294284833872553e+03
1.161448613840342309e-03,4.438967021282373935e+03
1.180592445813890418e-03,4.506581845826589415e+03
1.200051820204265122e-03,4.575149290256644235e+03
1.219831938008683961e-03,4.644679923915354266e+03
1.239938085950942868e-03,4.715184279171199705e+03
1.260375637894424559e-03,4.786672850332657617e+03
1.281150056278397087e-03,4.859156154750245150e+03
1.302266893577982065e-03,4.932644732657559871e+03
1.323731793788193462e-03,5.007149144471279214e+03
1.345550493932431676e-03,5.082679964379617559e+03
1.367728825595848543e-03,5.159247683806218447e+03
1.390272716483977305e-03,5.236862693636829135e+03
1.413188192007060542e-03,5.315535375334274249e+03
1.436481376890489390e-03,5.395276102392562279e+03
1.460158496811786184e-03,5.476095236680407652e+03
1.484225880064572473e-03,5.558003121607231151e+03
1.508689959249959103e-03,5.641009965281155928e+03
1.533557272995817638e-03,5.725125795986599769e+03
1.558834467704390452e-03,5.810360588716627717e+03
1.584528299328704813e-03,5.896724269722341887e+03
1.610645635178270182e-03,5.984226711698036524e+03
1.637193455754531665e-03,6.072877727105930717e+03
1.664178856616584405e-03,6.162686966356021912e+03
1.691609050277634221e-03,6.253663854990610162e+03
1.719491368132721864e-03,6.345817717054255809e+03
1.747833262418218084e-03,6.439157781090078061e+03
1.776642308203615342e-03,6.533693174138268660e+03
1.805926205416154154e-03,6.629432914032677218e+03
1.835692780898817277e-03,6.726385758836700006e+03
1.865949990502248357e-03,6.824560073641499912e+03
1.896705921211145826e-03,6.923964044808067229e+03
1.927968793305710141e-03,7.024605698735867009e+03
1.959746962558716818e-03,7.126492894322515895e+03
1.992048922468801168e-03,7.229633314892799717e+03
2.024883306530559073e-03,7.334034390845726193e+03
2.058258890542054471e-03,7.439703206751827565e+03
2.092184594950372793e-03,7.546646615783763991e+03
2.126669487235827508e-03,7.654871249622198775e+03
2.161722784335469872e-03,7.764383509731349477e+03
2.197353855106541545e-03,7.875189558198178929e+03
2.233572222830531012e-03,7.987295176519178312e+03
2.270387567758507322e-03,8.100705539363062599e+03
2.307809729698402906e-03,8.215425473501722081e+03
2.345848710644948473e-03,8.331459499031185260e+03
2.384514677452950846e-03,8.448811819059630579e+03
2.423817964554633199e-03,8.567486309227058882e+03
2.463769076721769764e-03,8.687486412971127720e+03
2.504378691873342284e-03,8.808814927279534459e+03
2.545657663929481486e-03,8.931474211497159558e+03
2.587617025712438210e-03,9.055466229328796544e+03
2.630267991895381303e-03,9.180792537223269392e+03
2.673621961999794652e-03,9.307454272666513134e+03
2.717690523442278273e-03,9.435452055373605617e+03
2.762485454631574862e-03,9.564785731378533455e+03
2.808018728116635793e-03,9.695454592983902330e+03
2.854302513786580522e-03,9.827457438478510085e+03
2.901349182123400244e-03,9.960792559402663755e+03
2.949171307508273183e-03,1.009545772776779449e+04
2.997781671582380996e-03,1.023145008082031018e+04
3.047193266663111855e-03,1.036876574036908096e+04
3.097419299216580026e-03,1.050740010792282555e+04
3.148473193387378317e-03,1.064734797583919681e+04
3.200368594586516617e-03,1.078860351358634216e+04
3.253119373138486318e-03,1.093116025402071682e+04
3.306739627988450683e-03,1.107501099547736339e+04
3.361243690470533483e-03,1.122014740466908188e+04
3.416646128138223302e-03,1.136656028357531977e+04
3.472961748657912677e-03,1.151423970547669887e+04
3.530205603766603788e-03,1.166317500087348162e+04
3.588392993294863605e-03,1.181335474340243854e+04
3.647539469256077128e-03,1.196476663224368713e+04
3.707660840003108513e-03,1.211739688267459132e+04
3.768773174453472503e-03,1.227123058580733050e+04
3.830892806384145893e-03,1.242625196440591208e+04
3.894036338797171766e-03,1.258244435939956020e+04
3.958220648357224820e-03,1.273979021586237468e+04
4.023462889902310047e-03,1.289827098896963435e+04
4.089780501028826391e-03,1.305786654767154505e+04
4.157191206752180665e-03,1.321855546434852113e+04
4.225713024244241896e-03,1.338031530730240956e+04
4.295364267648870381e-03,1.354312262956487575e+04
4.366163552976834623e-03,1.370695295607133994e+04
4.438129803081385105e-03,1.387178070156513422e+04
4.511282252715860530e-03,1.403757851600093454e+04
4.585640453674644061e-03,1.420431753397954890e+04
4.661224280018869473e-03,1.437196775331602475e+04
4.738053933388251121e-03,1.454049802890021601e+04
4.816149948400467139e-03,1.470987606235744897e+04
4.895533198139541756e-03,1.488006833148360965e+04
4.976224899734694312e-03,1.505103936103851811e+04
5.058246620031137293e-03,1.522275191794502462e+04
5.141620281354353401e-03,1.539516750786274861e+04
5.226368167369365228e-03,1.556824637818102747e+04
5.312512929036601259e-03,1.574194751177134640e+04
5.400077590665925548e-03,1.591622854842399647e+04
5.489085556070446952e-03,1.609104465113404876e+04
5.579560614821762847e-03,1.626634866722224797e+04
5.671526948608316548e-03,1.644209203755181807e+04
5.765009137698546768e-03,1.661822482234511699e+04
5.860032167510555168e-03,1.679469570089827903e+04
5.956621435290104793e-03,1.697145191425579469e+04
6.054802756898620790e-03,1.714843806769622461e+04
6.154602373713156244e-03,1.732559612377557642e+04
6.256046959640023178e-03,1.750286652333287930e+04
6.359163628244041133e-03,1.768018823953438914e+04
6.463979939995341019e-03,1.785749878636689027e+04
6.570523909635536154e-03,1.803473418325345119e+04
6.678824013665389872e-03,1.821182767427502404e+04
6.788909197955847116e-03,1.838870950109869955e+04
6.900808885484514300e-03,1.856530830351741315e+04
7.014552984199712467e-03,1.874155121744067219e+04
7.130171895014070053e-03,1.891736389554268317e+04
7.247696519929952910e-03,1.909267048698954750e+04
7.367158270298776804e-03,1.926739189803424233e+04
7.488589075216433265e-03,1.944144512562587624e+04
7.612021390057184533e-03,1.961474546506345723e+04
7.737488205148097126e-03,1.978720670952638466e+04
7.865023054586577078e-03,1.995874118734394142e+04
7.994660025203159659e-03,2.012925977468925339e+04
8.126433765672029866e-03,2.029867020703429080e+04
8.260379495771786457e-03,2.046687602046635220e+04
8.396533015798741950e-03,2.063377906508802334e+04
8.534930716135480377e-03,2.079927980240766556e+04
8.675609586977058030e-03,2.096327736436518171e+04
8.818607228217530819e-03,2.112566959550609317e+04
8.963961859499491869e-03,2.128635092410087964e+04
9.111712330429190196e-03,2.144521038704491730e+04
9.261898130960021652e-03,2.160213530973771776e+04
9.414559401947250952e-03,2.175701184205128811e+04
9.569736945876570339e-03,2.190972504617903905e+04
9.727472237769643412e-03,2.206015897800366656e+04
9.887807436269279576e-03,2.220819444344182193e+04
1.005078539490736333e-02,2.235370608433201414e+04
1.021644967355856727e-02,2.249656692822259356e+04
1.038484455008273355e-02,2.263664921516384857e+04
1.055601503215928584e-02,2.277382452237639882e+04
1.073000686931661202e-02,2.290796389025870303e+04
1.090686656515972228e-02,2.303893576510782441e+04
1.108664138979956020e-02,2.316660235372793613e+04
1.126937939248701809e-02,2.329082458410846084e+04
1.145512941445534644e-02,2.341146323769624723e+04
1.164394110197416489e-02,2.352837911796585468e+04
1.183586491961859978e-02,2.364143322369478119e+04
1.203095216375727264e-02,2.375048447691326874e+04
1.222925497626243044e-02,2.385538434513469838e+04
1.243082635844621441e-02,2.395598325481559368e+04
1.263572018522654029e-02,2.405213239506335594e+04
1.284399121952645856e-02,2.414368393962915798e+04
1.305569512691099124e-02,2.423049127440834854e+04
1.327088849046500173e-02,2.431240727527693889e+04
1.348962882591652444e-02,2.438927880121369526e+04
1.371197459700922855e-02,2.446095264210651658e+04
1.393798523112823283e-02,2.452727764823215330e+04
1.416772113518365017e-02,2.458810500648196830e+04
1.440124371175569712e-02,2.464328852107606144e+04
1.463861537550616675e-02,2.469268318929274392e+04
1.487989956986021482e-02,2.473613907387085419e+04
1.512516078396316035e-02,2.477350725734582375e+04
1.537446456991687672e-02,2.480464255167098236e+04
