i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
1.380000000000000000e+02,2.027108848640648944e+02,1.346805237622770123e-02,9.351161174418684552e-03,7.467877805675255179e-03,5.807178754295283865e-03,3.736268837521488848e-03,2.397290284698055766e-03,1.593506261064383612e-03,9.845450155439563946e-04,6.208526265091651557e-04,3.910242157043621568e-04,2.518476858094369935e-04,1.647625269644986136e-04,1.036993294958649299e-04,5.230407334399006709e-05,2.652173461296999195e-05,1.645818571865628144e-05,9.391517010756589599e-06,4.990486002111171120e-06,2.485825707713339553e-06,1.082605829615881773e-06,2.060653533935546875e+02
1.390000000000000000e+02,2.079306293635708016e+02,7.757788145703086585e-03,6.486003153927864980e-03,5.648616405571884637e-03,4.405244408625891804e-03,3.471518741944317442e-03,2.628225300662761273e-03,1.781164208165718398e-03,1.315435849492397865e-03,7.775070105721835177e-04,4.421611687460422018e-04,2.694402035798598607e-04,1.367239500989491394e-04,7.852510598643655743e-05,4.488305126931541636e-05,2.565000249704306242e-05,1.544062478555921416e-05,8.044989951735213293e-06,4.682463355148385571e-06,2.813026870431947693e-06,1.481356020141701028e-06,2.077373352050781250e+02
1.400000000000000000e+02,1.672494227897880421e+02,9.226630406564359857e-03,6.127802827334743151e-03,5.374880486707762917e-03,3.771655994401657865e-03,2.574511854341917337e-03,2.183652136173358082e-03,1.413714738462592234e-03,9.790069163572055408e-04,5.965208964994485850e-04,3.842681377259114599e-04,2.435408728874489698e-04,1.657191800989143689e-04,8.167903632265568689e-05,4.225502099962132063e-05,2.267060355130880969e-05,1.605894366790626236e-05,8.088738333264420164e-06,5.248025411284887190e-06,2.927977181261229496e-06,1.635253141343836290e-06,1.931690063476562500e+02
1.410000000000000000e+02,1.736122054921235645e+02,1.627572786005558603e-02,1.232079169914849191e-02,8.725546030822525778e-03,6.304553094194599236e-03,4.399995750613140515e-03,2.938487591544190411e-03,1.748349414512044868e-03,9.564126195468076455e-04,5.635325016193877892e-04,3.177205036720189284e-04,1.973585557519568683e-04,1.189456535733359073e-04,7.509135776428225973e-05,4.725952916319280632e-05,2.813278685694904790e-05,1.672663842655472053e-05,9.706788251953326916e-06,4.993592703013594278e-06,2.714029428078513390e-06,1.450567064953635738e-06,1.957318267822265625e+02
1.420000000000000000e+02,1.877235158853934536e+02,1.023845542842980946e-02,8.507354787888915526e-03,5.793036736824802233e-03,5.064102708413892664e-03,3.634536638234825510e-03,2.429952526822582934e-03,1.782285092808823766e-03,1.110892051479017272e-03,7.222981210877031395e-04,4.375666998773046750e-04,2.497385195591887491e-04,1.223558376894451436e-04,6.769534890889111300e-05,3.868414394141400891e-05,2.177883339084458922e-05,1.338135908364228245e-05,7.968629834730702971e-06,4.720338175424411396e-06,3.019349272943399516e-06,1.976071538835735969e-06,2.007856140136718750e+02
1.430000000000000000e+02,8.145190640327528797e+01,9.243657379026860854e-03,6.771027297032839072e-03,5.385056225737062767e-03,4.286124448469997780e-03,2.994941942223988598e-03,2.202866618471641461e-03,1.383953785785153792e-03,1.023216735899995858e-03,6.558436553631931051e-04,3.764681206799406783e-04,2.593293708310696107e-04,1.538854771449217802e-04,8.035566094585006502e-05,4.608014475156263035e-05,2.508578721680582884e-05,1.511504890666849140e-05,8.098082371268444351e-06,4.395647855667286155e-06,2.652640517510630567e-06,1.883776713399510487e-06,1.519626159667968750e+02
1.440000000000000000e+02,1.869615526861024364e+02,1.560632632819448223e-02,1.024837424809966688e-02,7.958787730889895634e-03,5.903329082266125030e-03,4.026615449582222894e-03,2.302932162615422152e-03,1.320806277800028097e-03,7.768040809309099482e-04,4.515612524008654079e-04,2.771437651270145202e-04,1.770888087827061680e-04,1.076840702878274460e-04,6.444755454630106547e-05,3.664751127288737249e-05,2.266814207525224569e-05,1.421707907259897777e-05,9.265597730016268839e-06,7.627621994676050439e-06,3.257124211885322186e-06,1.510357358149120023e-06,2.006291961669921875e+02
1.450000000000000000e+02,1.830154903084849138e+02,1.326765340062979748e-02,1.002151827621014686e-02,7.143871261963067980e-03,5.333629866007727656e-03,3.632936584449327280e-03,2.512083633678119984e-03,1.666876765698477791e-03,1.088446950759328112e-03,7.046461598043131901e-04,4.177830363233713071e-04,2.219694598201048187e-04,1.294595988012385828e-04,7.047803841045382535e-05,3.784372619752341717e-05,2.457834719917907930e-05,1.617845270434471757e-05,9.680295415978357231e-06,5.139839776831561659e-06,2.813536285937448265e-06,1.514864809107944636e-06,1.991731414794921875e+02
1.460000000000000000e+02,1.729173317012684095e+02,7.756502532748925892e-03,6.712677990718302762e-03,4.924661624221450887e-03,3.665716998694525802e-03,2.278431572162456769e-03,1.680795159454618031e-03,1.109992906934830371e-03,7.210490122827689597e-04,4.098322303237569766e-04,2.624638879446981811e-04,1.862870582188075287e-04,1.280425970276445852e-04,6.397750518755652917e-05,3.433257268870372659e-05,2.080684410325290878e-05,1.239786026151773372e-05,8.778266534391293040e-06,9.006089616343007339e-06,3.383514946057590289e-06,1.559385608072475678e-06,1.953413238525390625e+02
1.470000000000000000e+02,1.733989653830632278e+02,1.128300528741835521e-02,1.044184075004141871e-02,7.038601710609727544e-03,4.720301079787104538e-03,3.458708327888870577e-03,2.197347973435338081e-03,1.349481991559353103e-03,9.661724560098381310e-04,5.888493611130464879e-04,3.938373681218673705e-04,2.412490231397724540e-04,1.358612214298069506e-04,7.865958460869089083e-05,4.585034502788930537e-05,2.672358717352620248e-05,1.532886352165701468e-05,8.259861585310708824e-06,4.430126813167078002e-06,2.635660420386914505e-06,1.887272152129528817e-06,1.955901031494140625e+02
