i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
2.930000000000000000e+02,3.827559748855576771e+01,2.709381331187208264e-04,4.854366752063432079e-04,3.560995643551009208e-04,3.526575082099103883e-04,4.267875522970273716e-04,2.950140595399545823e-04,2.320741399114446271e-04,1.788400028936295248e-04,1.396013434053039427e-04,9.740202720768737009e-05,5.533608126662483833e-05,3.604985304475278246e-05,2.189648615175098509e-05,1.255980503479693673e-05,7.431197304458211431e-06,4.512769747726121394e-06,3.395506633494096934e-06,2.290691972624935019e-06,1.234482091716489647e-06,6.409290315963201298e-07,1.705348205566406250e+02
2.940000000000000000e+02,4.471678281900206287e+01,1.260269932739289511e-03,6.499923320852034727e-04,3.650351359469823404e-04,7.556192387450345015e-04,4.295815341960371831e-04,4.187187683761973023e-04,3.036418838421344108e-04,1.996858124939008096e-04,1.670421620689192701e-04,9.633392735488904759e-05,6.258476178653100085e-05,3.646685965654603468e-05,2.539778446460750106e-05,1.433330995057770902e-05,7.905782168760249636e-06,4.401526778291406081e-06,2.743865559788673862e-06,1.753418720997922923e-06,9.776198608849832098e-07,8.619477269222990993e-07,1.796219329833984375e+02
2.950000000000000000e+02,4.981066128558946104e+01,2.428462494315672101e-04,1.221475539451301307e-04,1.343512934916309023e-04,2.035033343771743930e-04,1.482061294426573954e-04,1.182221446277043379e-04,1.161343618069628176e-04,1.070136299088482131e-04,7.881016448626634939e-05,6.680847132732887898e-05,5.755032807643173354e-05,4.063189559088591432e-05,2.521257751779566917e-05,1.725885765145699106e-05,1.057557294785442101e-05,5.969383916403827688e-06,3.587221095816360731e-06,1.920736133514975472e-06,1.059722654750232971e-06,6.027942187757844146e-07,1.861688385009765625e+02
2.960000000000000000e+02,4.926481196390348316e+01,9.889566303574470491e-04,1.084737349421279135e-03,8.933810490741223194e-04,6.370858967215120572e-04,7.648236998532884729e-04,4.339625951552283532e-04,3.396575806552020252e-04,2.708876789335047772e-04,1.834866263441613352e-04,1.017809007179089136e-04,5.819269421475049890e-05,3.768705180452417157e-05,2.232120848339604573e-05,1.373094936842027366e-05,8.479855960650506297e-06,5.850098305797258115e-06,3.862218301656439789e-06,2.258020746957022609e-06,1.101918013487041617e-06,4.086747968685447249e-07,1.855259704589843750e+02
2.970000000000000000e+02,4.561881655720716822e+01,4.608536809861911573e-04,6.367204036668364098e-04,8.130606733287364064e-04,6.017268613890054988e-04,4.956928063899229860e-04,4.811873666939714108e-04,4.444135176260157285e-04,3.023821513792445542e-04,1.731165810107278247e-04,1.156247930811770276e-04,7.132670457289084934e-05,4.291384540910404415e-05,2.502686090164676851e-05,1.389644914833879331e-05,8.993898603944344006e-06,5.057146458541831737e-06,3.046475491148221133e-06,1.656324938306512600e-06,1.065431740366656572e-06,6.243548244495126872e-07,1.808135833740234375e+02
2.980000000000000000e+02,5.054144909174065958e+01,4.079148524765327218e-04,6.410773580775940396e-04,4.496804688928338935e-04,4.977521807894550896e-04,4.225995670805720184e-04,3.844938349203459878e-04,2.861588290430185414e-04,1.822088992545820138e-04,1.200535889572398949e-04,7.495806379675686818e-05,4.953454481017221996e-05,2.988626174141000426e-05,1.986419722454194311e-05,1.108018090270041979e-05,7.017596806143805873e-06,4.489671514355354231e-06,3.063953210190212797e-06,2.119561032547609864e-06,1.476895849382764316e-06,7.099595480557158031e-07,1.870848236083984375e+02
2.990000000000000000e+02,3.911515757928943060e+01,4.069159483124167552e-04,5.386758793945319816e-04,5.510163298001808556e-04,5.289638221143528555e-04,3.883747472661758910e-04,3.707751853256396543e-04,2.277101199730151109e-04,1.938461063801836745e-04,1.303835257144304318e-04,9.609652942678401154e-05,5.755082201861877841e-05,3.228967964397533064e-05,2.132326424717423050e-05,1.292140995853417157e-05,7.957159063649782763e-06,5.474724635370845393e-06,4.102233614630343756e-06,2.198520320828752089e-06,1.067106196194969352e-06,5.847983228998366073e-07,1.717813262939453125e+02
3.000000000000000000e+02,2.357442923976238802e+01,3.593505278891598277e-04,2.711103842688764010e-05,1.048568384809881598e-04,9.027715375735171613e-05,1.300605964310097627e-04,1.054869848920358732e-04,1.189754592150034851e-04,9.189906440241458975e-05,5.674452226999675156e-05,4.239355786143208978e-05,2.860084408200061861e-05,2.229135508029814230e-05,1.267311256999218222e-05,9.712185712732074270e-06,7.125956291740314410e-06,4.937747208319176736e-06,2.645780287714362918e-06,1.817707669416464240e-06,1.399207978785801588e-06,1.143648763279076934e-06,1.450823211669921875e+02
3.010000000000000000e+02,4.625746676005104518e+01,5.530835751906635483e-04,4.011269637221806387e-04,3.838532457258851411e-04,3.022042490459762604e-04,2.793566609288982263e-04,2.579620386105067539e-04,2.366508453032777385e-04,1.315280474577768357e-04,1.291968885635717216e-04,8.101921631739374401e-05,4.424621501171514771e-05,2.792335859637540279e-05,1.837684042100870321e-05,1.063496106876354477e-05,6.873606626120907000e-06,3.950580790015536182e-06,2.666436991117532634e-06,2.536657075645644546e-06,1.705497679055959195e-06,6.420898902283421086e-07,1.816338958740234375e+02
3.020000000000000000e+02,4.189139646721680066e+01,3.471404773291855228e-04,5.461324260586906693e-04,5.146238995122830954e-04,5.340285758810809713e-04,4.562385308643295240e-04,3.761554642899497813e-04,3.319966422304441024e-04,2.198580646835970149e-04,1.094013604836823925e-04,8.404657273084747689e-05,5.420552349971117086e-05,3.534824254905632080e-05,2.175319144522074328e-05,1.374946908173815385e-05,8.876855616816102287e-06,5.604302562440289042e-06,3.367657078704394197e-06,1.976539563838673677e-06,1.081240112405883943e-06,6.682739620037905918e-07,1.757385406494140625e+02
