i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
1.589000000000000000e+03,1.012476613017062377e+01,0.000000000000000000e+00,8.950485131679166853e+07,9.045909830602358282e+07,1.007139709330941141e+08,3.003841978749215007e+08,5.690489447443119287e+08,3.926151301462547779e+08,2.374243802630401850e+08,2.059107797041436434e+08,1.022469106219304651e+08,8.599610823481410742e+07,5.508697661062024534e+07,3.636452158572162688e+07,2.865692120062807575e+07,1.603898249306837656e+07,9.849394075627965853e+06,6.131175955505815335e+06,3.327547167522610165e+06,1.830442725652019493e+06,1.205641119643643033e+06,1.094644241333007812e+02
1.590000000000000000e+03,1.091063976963399895e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.131365996681366488e+07,3.658850667805449367e+08,5.522489848965351582e+08,3.405485957887134552e+08,2.572012125122187436e+08,2.362082444276826382e+08,1.773161490901497006e+08,1.218664016938929707e+08,1.212963748806530386e+08,7.715316041607338190e+07,5.332268052602559328e+07,3.382682473363911361e+07,2.382657960262541100e+07,1.325541831756937690e+07,6.859410723429406062e+06,4.121716845006489195e+06,1.931945206028020475e+06,1.066684295645267703e+06,1.122215652465820312e+02
1.591000000000000000e+03,1.309251283457320980e+01,4.464340534918129444e+08,5.859251463198726177e+08,3.014701844268693328e+08,4.627722589039683938e+08,8.053784559173189402e+08,7.288387896767055988e+08,4.273302874840159416e+08,3.853563294655788541e+08,4.279654406680691242e+08,2.701021477928020954e+08,1.703926318307669461e+08,1.163959061148626655e+08,7.039601741194730997e+07,3.927087216769126803e+07,2.865095293212163448e+07,2.070744723633404449e+07,1.199294597426503897e+07,7.120800588673477061e+06,2.809640752581751905e+06,1.007040502882291912e+06,1.192677078247070312e+02
1.592000000000000000e+03,9.328076362180825143e+00,1.468698847424727082e+08,9.926905232698713541e+08,4.975238172056354880e+08,2.153666729563561380e+08,5.873608658930171728e+08,1.572261116127787232e+08,3.134036397549697161e+08,2.349285636287809014e+08,2.404689940515539050e+08,1.494855096871354580e+08,9.665949898398627341e+07,7.169861250495825708e+07,3.986194256193022430e+07,2.244480546076893061e+07,1.152360081686938927e+07,7.399025151135697961e+06,4.795608445571329445e+06,2.614452378119877074e+06,1.591482411455664085e+06,9.459829567634089617e+05,1.065115280151367188e+02
1.593000000000000000e+03,6.782515440913490679e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.147678469826139361e+08,1.763689079424421191e+08,2.049599224997238219e+08,9.879229172686833143e+07,7.416048170957806706e+07,6.373963596082324535e+07,7.219673246492891014e+07,3.951392519977594167e+07,2.561717916961732507e+07,1.592363624529854022e+07,1.042693620506149903e+07,7.167211247043957002e+06,4.306022270733354613e+06,2.030354320994749665e+06,1.302886744259826373e+06,9.161456284775313688e+05,6.836466828150309157e+05,9.577848815917968750e+01
1.594000000000000000e+03,1.025363605001549416e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.258622983837181926e+08,2.812703326028065011e+07,1.581737457386657894e+08,3.018249384105959535e+08,2.376185873791549504e+08,1.683548594320203960e+08,9.272767140647938848e+07,9.261385783542130888e+07,4.999236011172825098e+07,3.619881367233455926e+07,2.088809108596612513e+07,1.364249798600189015e+07,7.872434601973483339e+06,4.042194900741363876e+06,3.036760558070569765e+06,2.614443098773628939e+06,1.713320868603466544e+06,1.099242630004882812e+02
1.595000000000000000e+03,8.984359288706361468e+00,0.000000000000000000e+00,8.131371186254832149e+07,2.780921570575206876e+08,1.200825534772151709e+08,1.397230113812553287e+08,2.173742149894530773e+08,1.789483635659528673e+08,1.495043433065581620e+08,1.210584443671006709e+08,6.582051763425388932e+07,6.436019649606011808e+07,3.894600561964587122e+07,2.429708051635212451e+07,1.859717370353610814e+07,1.119109488387685642e+07,6.853781899779811502e+06,4.481206054908715189e+06,2.824587395307755098e+06,1.624445263082187390e+06,1.149844907480327180e+06,1.051869735717773438e+02
1.596000000000000000e+03,1.246298729678701100e+01,1.817514720523411930e+08,6.633875235251584053e+08,5.496664860754138231e+08,9.367153779090445042e+08,6.739447859018182755e+08,6.298291399959491491e+08,6.802027494120943546e+08,3.514241951314873099e+08,2.973506890074270964e+08,2.154194488240740299e+08,1.296936097075430900e+08,7.433958690521378815e+07,5.437654033486455679e+07,3.331272241135180742e+07,2.037339693810749426e+07,1.446989058161665127e+07,9.118677957543689758e+06,6.450308964100267738e+06,3.344351134023797698e+06,1.495310181189179188e+06,1.173251419067382812e+02
1.597000000000000000e+03,5.662088495423131640e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.802609494761481881e+07,3.776970011916559935e+07,2.874979485408977047e+07,2.189719978233897313e+07,3.172277286164970323e+07,1.530960900591768697e+07,1.331875538050189614e+07,8.602942118292704225e+06,6.308498688995953649e+06,4.235147756355392747e+06,2.263252561946959235e+06,1.719127966824735748e+06,1.239063689331064699e+06,6.556082925138053251e+05,5.447801257703704759e+05,9.019857788085937500e+01
1.598000000000000000e+03,8.846674448986064476e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.349025146996085718e+07,5.157144930704631805e+08,5.432109120452948809e+08,1.537545631807408929e+08,1.912045642045384049e+08,1.598870280079665184e+08,1.048784091183339506e+08,9.108950115895149112e+07,6.014669939574491233e+07,3.495145828162191808e+07,2.794325186618502438e+07,1.406838937401066720e+07,9.900175235786616802e+06,5.616804888089194894e+06,3.080169250834246166e+06,2.474086591152372770e+06,1.821135091779484181e+06,1.316595081672594650e+06,1.046553573608398438e+02
