i, M,rho_0,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10,rho_11,rho_12,rho_13,rho_14,rho_15,rho_16,rho_17,rho_18,rho_19,r200
2.556000000000000000e+03,3.738073410797181584e+00,2.301337793054528534e+07,4.817269752509163320e+07,1.335034274572870135e+07,3.095506520517642051e+07,4.940495152461913228e+07,5.185242816320340335e+07,5.843973959817226976e+07,2.973379059694424272e+07,1.865250143354456872e+07,1.342122024028685316e+07,1.121228976545808837e+07,5.784214876065710559e+06,3.167538121024516877e+06,1.647634672322903061e+06,8.215651270796722965e+05,4.201887544708048226e+05,2.248360403031876194e+05,8.626011470302339876e+04,4.213457022660710936e+04,2.425661207783153441e+04,5.438478469848632812e+01
2.557000000000000000e+03,3.117316075094800798e+00,0.000000000000000000e+00,1.461680894514430687e+07,4.563919714680990577e+07,2.316324057302193716e+07,3.962758753895270824e+07,3.828412810566148162e+07,2.836851711977624148e+07,1.556752672983425856e+07,1.102317832209311239e+07,6.818147780678467825e+06,6.162633369976806454e+06,3.549354257103880867e+06,2.136158222369072493e+06,1.112223807777134236e+06,5.451059524157687556e+05,3.243876682992355782e+05,1.311833864640231768e+05,8.861117333653316018e+04,4.095561596495989215e+04,1.781018477715945482e+04,5.118906784057617188e+01
2.558000000000000000e+03,3.922466870448780174e+00,0.000000000000000000e+00,9.931578835799674690e+07,7.235908856090301275e+07,4.415425653945621103e+07,5.724791464900026470e+07,8.393330636834624410e+07,6.537122123646157980e+07,4.290339714778655022e+07,2.448791525527745113e+07,2.011214839563381299e+07,1.054243810666037351e+07,5.286397215716427192e+06,2.629516452429124620e+06,1.582971592568177264e+06,9.019519274673478212e+05,4.788932330925985589e+05,2.628655122652994469e+05,1.016408878264552623e+05,4.997540764206402673e+04,2.616975743576938112e+04,5.526098251342773438e+01
2.559000000000000000e+03,3.619282482985507698e+00,1.277472610967446566e+08,9.090167284341827035e+07,1.700425602003039420e+07,4.555238113674699515e+07,8.059448667732606828e+07,4.065906658886567503e+07,4.404676537974198163e+07,2.844505205695843697e+07,1.966010944863938913e+07,1.376312103770162165e+07,8.251182218175100163e+06,4.967160868226283230e+06,3.288647431256822310e+06,1.334568647851698566e+06,7.914129539229724323e+05,4.767020565962388646e+05,2.139097735160751035e+05,8.619386602804067661e+04,3.707686814412698004e+04,2.131966581317900273e+04,5.381696319580078125e+01
2.560000000000000000e+03,3.547498189975526017e+00,6.255763866721884012e+08,7.369458920034779608e+07,1.050395491131413728e+08,1.070140196441435814e+08,9.091921514782837033e+07,4.884169760301733017e+07,4.290051589487344027e+07,3.757203501064173877e+07,1.724049254413756356e+07,9.841413150993252173e+06,5.945303753426220268e+06,4.745761838281883858e+06,2.756251051999878604e+06,1.092642110397162382e+06,7.003234616704155924e+05,3.046868333840976120e+05,2.060030120758627309e+05,8.407100173506543797e+04,5.666559926488085330e+04,2.904784548120305772e+04,5.344479751586914062e+01
2.561000000000000000e+03,3.654890706200417227e+00,0.000000000000000000e+00,2.077332310715638846e+07,3.868788346931023151e+07,4.586364027843720466e+07,4.790004148347447067e+07,3.447516992754758149e+07,2.990300238816013932e+07,2.699962044444924220e+07,1.868394401441840082e+07,1.497959089028479718e+07,5.880588381692921743e+06,4.427310074018948711e+06,2.570166877760775387e+06,1.474549938592436723e+06,8.640340149822613457e+05,3.995693059735159623e+05,2.108313064681007818e+05,1.100534399710696744e+05,6.392528276586561697e+04,2.342655668107610836e+04,5.397290420532226562e+01
2.562000000000000000e+03,3.836487378975555362e+00,1.676483173043424785e+08,9.103419334521688521e+07,5.084769417227685452e+07,1.065492012282604575e+08,9.968531581788681448e+07,4.670881686728410423e+07,3.216088105851734802e+07,3.360607862911585718e+07,2.259703173820793629e+07,1.614819251052300632e+07,1.011849411300708912e+07,5.267707137558139861e+06,3.483297953529426828e+06,1.605350614467869280e+06,7.390084549686823739e+05,4.037021422977775801e+05,2.298324242732038838e+05,9.481172612462758843e+04,5.654430469920125324e+04,3.026447035977497580e+04,5.486950683593750000e+01
2.563000000000000000e+03,3.551557697760907573e+00,0.000000000000000000e+00,1.764257849349007010e+07,1.762043501535417140e+07,5.764534896662434936e+07,5.170728270516810566e+07,2.634457065142438561e+07,2.206363766964165121e+07,2.519717177979675308e+07,1.375983459557427093e+07,1.142066645699046552e+07,5.951367393611307256e+06,4.735919339728316292e+06,3.109087907267332077e+06,1.646979472484638914e+06,7.115944709048710065e+05,3.798139328978826525e+05,1.651814989581909322e+05,1.121148511307982699e+05,5.078714370618524117e+04,2.549870340476754427e+04,5.346309661865234375e+01
2.564000000000000000e+03,3.467053423473015705e+00,0.000000000000000000e+00,1.564893575484340452e+07,7.573104433282110095e+07,1.081111759055594653e+08,7.689853370222845674e+07,4.591807752001781762e+07,4.613616534299658239e+07,2.539152227003720403e+07,1.560835333165037632e+07,1.168261347541520558e+07,6.647883735679199919e+06,4.350018072477315553e+06,2.603068522024176549e+06,1.341672557779459748e+06,6.849313250219613547e+05,3.673283992529951502e+05,1.666764792771928769e+05,1.076229378269044828e+05,4.074380545115974382e+04,2.257718700756356338e+04,5.305248260498046875e+01
2.565000000000000000e+03,2.738440834598594442e+00,0.000000000000000000e+00,6.061298092892085761e+07,3.530889691172952205e+07,6.030901078587953001e+07,1.068316219863269851e+07,5.499514357095128857e+06,1.614134989213796332e+07,8.640952057421693578e+06,5.960302334533262998e+06,5.202748815291646868e+06,2.960338513260467444e+06,1.877728784019604791e+06,1.308828597047853982e+06,7.142178387275348650e+05,4.209015838583357399e+05,3.005475095933895791e+05,1.298374243769945169e+05,6.128281658978058840e+04,3.379684354547074327e+04,2.384578430060185929e+04,4.902715682983398438e+01
2.566000000000000000e+03,3.451937181279266298e+00,1.217493782892740071e+08,1.892914356131462753e+07,3.992659759612157941e+07,5.774174778973909467e+07,5.213520946903158724e+07,1.778595351372391731e+07,4.007792231720747799e+07,2.805167993610592932e+07,1.564934842832419276e+07,1.219294174474032596e+07,7.674295259165311232e+06,4.006530977812319994e+06,2.182739331330828834e+06,1.117079540054098936e+06,4.468759204036315787e+05,2.714711870947983698e+05,1.895043325554656913e+05,1.129087279508056818e+05,5.846071544584682124e+04,2.988666507154722785e+04,5.296117019653320312e+01
2.567000000000000000e+03,2.896682763257771853e+00,1.024005397868774980e+08,0.000000000000000000e+00,4.386547313786643557e+06,6.514539157523714006e+07,5.915167613180545717e+07,1.765211655209584162e+07,2.050759555645405874e+07,1.732816568863022700e+07,1.127979870084493607e+07,5.248985015738760121e+06,3.408960289909616113e+06,1.845391026936903363e+06,1.205917024817137048e+06,5.126369504508244572e+05,3.022930895672654151e+05,2.315702083221195498e+05,1.325136924542154302e+05,6.786366541061858879e+04,3.957210770567598956e+04,4.153673513713126158e+04,4.999225616455078125e+01
2.568000000000000000e+03,4.232364410355791584e+00,1.492393043063611984e+08,1.836203803936364502e+07,1.548358203772777617e+08,1.342942115449569523e+08,8.712192210070618987e+07,8.964440393227966130e+07,6.579690365484274924e+07,4.828500318830715865e+07,2.296545310096076131e+07,2.042279801905660331e+07,1.101426425487304479e+07,5.616763241730300710e+06,3.501314712882511318e+06,1.654733594025737373e+06,8.495056732580935350e+05,5.000246136282653897e+05,2.377636332914293453e+05,1.461731085667928855e+05,7.873425004864385119e+04,4.146343440443395957e+04,5.667998504638671875e+01
2.569000000000000000e+03,3.384594815802315360e+00,0.000000000000000000e+00,7.760695369624671340e+07,1.361564774610090256e+07,6.938999135028649867e+07,2.166008881688939035e+07,5.239178963015002757e+07,3.987426538038201630e+07,2.676733780709793791e+07,1.753112748746484518e+07,1.023045982169805840e+07,6.085448255669640377e+06,3.333768764729572460e+06,2.176746983829786535e+06,1.360078944142683409e+06,7.615781106993089197e+05,3.881469692627452896e+05,1.490218066913532384e+05,9.041766330161297810e+04,4.322139813400996354e+04,2.371810180094527459e+04,5.261577606201171875e+01
2.570000000000000000e+03,3.554892768605913300e+00,4.373160153937137127e+07,1.044145035624801219e+08,5.349887038167265058e+07,3.855729606130211800e+07,3.850589027449584752e+07,4.000651184481189400e+07,3.874852267680658400e+07,2.391320268032825738e+07,2.099553978222545236e+07,8.153584887093734927e+06,5.745850069058272988e+06,4.404080131756011397e+06,2.552971533036952838e+06,1.298699740644431906e+06,6.525708330203930382e+05,3.181584010566850775e+05,2.014595402836963476e+05,9.885436253829256748e+04,6.571453208751697093e+04,3.166729679385970667e+04,5.347778320312500000e+01
2.571000000000000000e+03,3.173291968474939218e+00,2.238022585926980376e+08,5.608341743180496991e+07,3.157068629103818163e+07,4.514786669439323992e+07,6.548619577173078060e+07,2.850356313338621333e+07,3.375555703250437230e+07,2.471862566773445904e+07,8.238557941231631674e+06,9.733134379975019023e+06,6.261671126482934691e+06,3.783898270403582603e+06,1.903091749056823784e+06,1.083920838320427807e+06,6.162790853940577945e+05,3.241625234473779565e+05,1.575691604946744337e+05,7.748450328793714289e+04,3.832633370939891029e+04,1.922958541662511198e+04,5.149283599853515625e+01
2.572000000000000000e+03,3.777178114837648870e+00,0.000000000000000000e+00,4.152904947118183970e+07,1.268580782783825397e+08,1.175452606716783047e+08,7.109080302233418822e+07,6.721367166895988584e+07,2.426730920847646147e+07,3.071670159561970830e+07,2.055956353047014028e+07,1.575901643206609599e+07,1.033140798787138239e+07,5.638547881632148288e+06,3.094931673605718650e+06,1.643524667495423928e+06,9.105289881559652276e+05,3.926793620031438186e+05,2.129049174289100920e+05,1.133968013096683426e+05,4.931290630282150960e+04,2.070616698350320803e+04,5.460485839843750000e+01
2.573000000000000000e+03,3.206988810308698312e+00,0.000000000000000000e+00,6.259773788328496367e+07,2.318915716521347687e+07,5.861550930809751898e+07,1.024119275436066985e+08,3.265205853395411372e+07,2.518331450659982115e+07,2.471059171543715149e+07,2.051897936795870587e+07,9.136422253729507327e+06,6.108282728776851669e+06,3.712002852352854330e+06,2.243184242320984602e+06,8.848226331480094232e+05,3.724951017935620621e+05,2.421138117877679761e+05,1.191196073891531123e+05,8.578601004048815230e+04,4.830839955529559666e+04,3.000632203429910442e+04,5.169863128662109375e+01
2.574000000000000000e+03,3.660762689626209543e+00,1.291210132433034927e+08,5.292831056008844636e+06,4.823775427712773904e+06,8.523934930954669416e+07,5.032709798697932065e+07,5.719533346804994345e+07,2.771954050131040439e+07,2.624152977882604301e+07,1.672923962871650606e+07,1.372914210432827845e+07,7.130221011872332543e+06,4.296062912079432979e+06,2.748125208575731609e+06,1.755031759992902633e+06,7.434066179936521221e+05,4.514350108056350145e+05,2.039832618140610866e+05,9.815599339669289475e+04,5.427584919169473869e+04,2.645748843146689615e+04,5.400918579101562500e+01
2.575000000000000000e+03,3.643516694944801237e+00,1.566076358478001505e+07,0.000000000000000000e+00,7.440997255315318704e+07,1.197047782995530069e+08,5.179993215630521625e+07,4.250135046090658754e+07,4.114233615594720095e+07,3.019273309176877141e+07,2.450911796408567205e+07,1.070435343680782616e+07,8.004986961930975318e+06,4.711255242391794920e+06,2.974513655630315654e+06,1.489256798343198374e+06,6.865602324585830793e+05,4.242007141837525414e+05,1.993178533995882026e+05,1.054142643266209780e+05,4.837962343376431818e+04,2.483367059357992548e+04,5.394050598144531250e+01
2.576000000000000000e+03,3.076254465108561043e+00,2.169996039968048334e+08,2.296035417801840231e+07,3.552757787343416363e+07,6.772442413277955353e+07,4.303727771217028052e+07,5.109682411321679503e+07,2.404925574887104705e+07,2.466891701719559357e+07,1.385162576516414247e+07,7.751484834565622732e+06,5.089736645431193523e+06,2.908149939192835242e+06,1.506306780620875070e+06,1.036155747082503163e+06,5.665841783513023984e+05,3.110131691621836508e+05,1.665030072466010752e+05,7.734505820044493885e+04,3.848293118517640687e+04,1.718848358621010630e+04,5.096573638916015625e+01
2.577000000000000000e+03,1.845060077424835576e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.269629386678711325e+07,7.229443910889444873e+06,1.872687943972646818e+07,1.707913475327806920e+07,7.246306902868285775e+06,5.887280360685259104e+06,7.118942038253959268e+06,3.576273716234402731e+06,1.734098875765036093e+06,1.330559494709496154e+06,7.947642421513998415e+05,3.428993930805380223e+05,1.942412230170790281e+05,8.637041958927143423e+04,3.618809379179863754e+04,2.192885457761724319e+04,1.431227673515477545e+04,9.209418707221755540e+03,4.298248291015625000e+01
2.578000000000000000e+03,3.599516183339891207e+00,1.507759013517671078e+07,1.672236038499352336e+08,5.834096519976395369e+07,4.264887945765225589e+07,3.361358763894830644e+07,4.713349618472035974e+07,4.222866409000655264e+07,2.621304501801662147e+07,1.927937872383742407e+07,9.825884275488626212e+06,7.947486859798945487e+06,4.740896042234316468e+06,2.934450865638608113e+06,1.593446429498699028e+06,6.183327294010557234e+05,3.567377446429864503e+05,1.898601904689139919e+05,1.044342336760015023e+05,5.288982421509119740e+04,2.783811159402153498e+04,5.372187423706054688e+01
